OccurrenceID;Dvpt type;Mission;Year;Latitude;Longitude;Station;Station_Year;Bioregion;Depth (GEBCO);PF;AphiaID_accepted;ScientificName_accepted;Authority_accepted;Kingdom;Phylum;Class;Order;Family;Genus;Subgenus;Species2
4024;;JR15005 British Antarctic Survey;2016;-60.27661;-46.86591;-60,27661_-46,86591;-60,27661_-46,86591_2016;South Orkney Islands;-486;South;559186;Chitonaster trangae;Mah, 2011;Animalia;Echinodermata;Asteroidea;Valvatida;Goniasteridae;Chitonaster;;trangae
4025;;JR15005 British Antarctic Survey;2016;-60.32156;-46.76898;-60,32156_-46,76898;-60,32156_-46,76898_2016;South Orkney Islands;-826;South;559186;Chitonaster trangae;Mah, 2011;Animalia;Echinodermata;Asteroidea;Valvatida;Goniasteridae;Chitonaster;;trangae
4026;;JR15005 British Antarctic Survey;2016;-60.32237;-46.76719;-60,32237_-46,76719;-60,32237_-46,76719_2016;South Orkney Islands;-852;South;559186;Chitonaster trangae;Mah, 2011;Animalia;Echinodermata;Asteroidea;Valvatida;Goniasteridae;Chitonaster;;trangae
4027;;JR15005 British Antarctic Survey;2016;-60.73545;-46.4998;-60,73545_-46,4998;-60,73545_-46,4998_2016;South Orkney Islands;-150;South;559186;Chitonaster trangae;Mah, 2011;Animalia;Echinodermata;Asteroidea;Valvatida;Goniasteridae;Chitonaster;;trangae
4028;;JR15005 British Antarctic Survey;2016;-60.87382;-46.50078;-60,87382_-46,50078;-60,87382_-46,50078_2016;South Orkney Islands;-220;South;559186;Chitonaster trangae;Mah, 2011;Animalia;Echinodermata;Asteroidea;Valvatida;Goniasteridae;Chitonaster;;trangae
4029;;JR15005 British Antarctic Survey;2016;-62.15421;-44.99019;-62,15421_-44,99019;-62,15421_-44,99019_2016;South Orkney Islands;-556;South;559186;Chitonaster trangae;Mah, 2011;Animalia;Echinodermata;Asteroidea;Valvatida;Goniasteridae;Chitonaster;;trangae
4030;Brooding;JR15005 British Antarctic Survey;2016;-60.93404;-45.23308;-60,93404_-45,23308;-60,93404_-45,23308_2016;South Orkney Islands;-280;South;178790;Diplasterias brandti;(Bell, 1881);Animalia;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Diplasterias;;brandti
4031;Brooding;JR15005 British Antarctic Survey;2016;-60.99443;-46.83181;-60,99443_-46,83181;-60,99443_-46,83181_2016;South Orkney Islands;-507;South;178790;Diplasterias brandti;(Bell, 1881);Animalia;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Diplasterias;;brandti
4032;Brooding;JR15005 British Antarctic Survey;2016;-60.27279;-46.87778;-60,27279_-46,87778;-60,27279_-46,87778_2016;South Orkney Islands;-486;South;172650;Diplasterias brucei;(Koehler, 1908);Animalia;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Diplasterias;;brucei
4033;Brooding;JR15005 British Antarctic Survey;2016;-60.3208;-46.76743;-60,3208_-46,76743;-60,3208_-46,76743_2016;South Orkney Islands;-837;South;172650;Diplasterias brucei;(Koehler, 1908);Animalia;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Diplasterias;;brucei
4034;Brooding;JR15005 British Antarctic Survey;2016;-60.32237;-46.76719;-60,32237_-46,76719;-60,32237_-46,76719_2016;South Orkney Islands;-852;South;172650;Diplasterias brucei;(Koehler, 1908);Animalia;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Diplasterias;;brucei
4035;Brooding;JR15005 British Antarctic Survey;2016;-60.35385;-46.68411;-60,35385_-46,68411;-60,35385_-46,68411_2016;South Orkney Islands;-573;South;172650;Diplasterias brucei;(Koehler, 1908);Animalia;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Diplasterias;;brucei
4036;Brooding;JR15005 British Antarctic Survey;2016;-60.35437;-46.68423;-60,35437_-46,68423;-60,35437_-46,68423_2016;South Orkney Islands;-545;South;172650;Diplasterias brucei;(Koehler, 1908);Animalia;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Diplasterias;;brucei
4037;Brooding;JR15005 British Antarctic Survey;2016;-60.46412;-44.70265;-60,46412_-44,70265;-60,46412_-44,70265_2016;South Orkney Islands;-1077;South;172650;Diplasterias brucei;(Koehler, 1908);Animalia;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Diplasterias;;brucei
4038;Brooding;JR15005 British Antarctic Survey;2016;-60.47629;-44.41916;-60,47629_-44,41916;-60,47629_-44,41916_2016;South Orkney Islands;-896;South;172650;Diplasterias brucei;(Koehler, 1908);Animalia;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Diplasterias;;brucei
4039;Brooding;JR15005 British Antarctic Survey;2016;-60.47679;-44.41902;-60,47679_-44,41902;-60,47679_-44,41902_2016;South Orkney Islands;-858;South;172650;Diplasterias brucei;(Koehler, 1908);Animalia;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Diplasterias;;brucei
4040;Brooding;JR15005 British Antarctic Survey;2016;-60.49592;-44.52236;-60,49592_-44,52236;-60,49592_-44,52236_2016;South Orkney Islands;-658;South;172650;Diplasterias brucei;(Koehler, 1908);Animalia;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Diplasterias;;brucei
4041;Brooding;JR15005 British Antarctic Survey;2016;-61.2005;-45.755;-61,2005_-45,755;-61,2005_-45,755_2016;South Orkney Islands;-324;South;172650;Diplasterias brucei;(Koehler, 1908);Animalia;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Diplasterias;;brucei
4042;Brooding;JR15005 British Antarctic Survey;2016;-62.16809;-44.98298;-62,16809_-44,98298;-62,16809_-44,98298_2016;South Orkney Islands;-535;South;172650;Diplasterias brucei;(Koehler, 1908);Animalia;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Diplasterias;;brucei
4043;Brooding;JR15005 British Antarctic Survey;2016;-62.28379;-44.99531;-62,28379_-44,99531;-62,28379_-44,99531_2016;South Orkney Islands;-758;South;172650;Diplasterias brucei;(Koehler, 1908);Animalia;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Diplasterias;;brucei
4044;Brooding;JR15005 British Antarctic Survey;2016;-62.33015;-44.54167;-62,33015_-44,54167;-62,33015_-44,54167_2016;South Orkney Islands;-1012;South;172650;Diplasterias brucei;(Koehler, 1908);Animalia;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Diplasterias;;brucei
4045;Brooding;JR15005 British Antarctic Survey;2016;-62.33288;-44.52622;-62,33288_-44,52622;-62,33288_-44,52622_2016;South Orkney Islands;-1055;South;172650;Diplasterias brucei;(Koehler, 1908);Animalia;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Diplasterias;;brucei
4046;Planktotrophic;JR15005 British Antarctic Survey;2016;-60.2713;-46.87839;-60,2713_-46,87839;-60,2713_-46,87839_2016;South Orkney Islands;-485;South;178005;Glabraster antarctica;(E. A. Smith, 1876);Animalia;Echinodermata;Asteroidea;Valvatida;Poraniidae;Glabraster;;antarctica
4047;Planktotrophic;JR15005 British Antarctic Survey;2016;-60.27279;-46.87778;-60,27279_-46,87778;-60,27279_-46,87778_2016;South Orkney Islands;-486;South;178005;Glabraster antarctica;(E. A. Smith, 1876);Animalia;Echinodermata;Asteroidea;Valvatida;Poraniidae;Glabraster;;antarctica
4048;Planktotrophic;JR15005 British Antarctic Survey;2016;-60.27661;-46.86591;-60,27661_-46,86591;-60,27661_-46,86591_2016;South Orkney Islands;-486;South;178005;Glabraster antarctica;(E. A. Smith, 1876);Animalia;Echinodermata;Asteroidea;Valvatida;Poraniidae;Glabraster;;antarctica
4049;Planktotrophic;JR15005 British Antarctic Survey;2016;-60.3208;-46.76743;-60,3208_-46,76743;-60,3208_-46,76743_2016;South Orkney Islands;-837;South;178005;Glabraster antarctica;(E. A. Smith, 1876);Animalia;Echinodermata;Asteroidea;Valvatida;Poraniidae;Glabraster;;antarctica
4050;Planktotrophic;JR15005 British Antarctic Survey;2016;-60.6774;-44.01327;-60,6774_-44,01327;-60,6774_-44,01327_2016;South Orkney Islands;-280;South;178005;Glabraster antarctica;(E. A. Smith, 1876);Animalia;Echinodermata;Asteroidea;Valvatida;Poraniidae;Glabraster;;antarctica
4051;Planktotrophic;JR15005 British Antarctic Survey;2016;-60.72161;-43.02674;-60,72161_-43,02674;-60,72161_-43,02674_2016;South Orkney Islands;-1017;South;178005;Glabraster antarctica;(E. A. Smith, 1876);Animalia;Echinodermata;Asteroidea;Valvatida;Poraniidae;Glabraster;;antarctica
