"zone","label","data2.lat","data2.lon"
"R-04",186,-69.0833358764648,-58.0833320617676
"R-03",187,-68.75,-76.0833358764648
"R-03",188,-68.75,-75.5833358764648
"R-03",189,-68.75,-75.0833358764648
"R-03",190,-68.75,-74.5833358764648
"R-03",191,-68.75,-74.0833358764648
"R-04",192,-68.75,-58.0833320617676
"R-04",193,-68.75,-57.5833320617676
"R-03",194,-68.4166641235352,-74.0833358764648
"R-03",195,-68.4166641235352,-73.5833358764648
"R-03",196,-68.4166641235352,-73.0833358764648
"R-04",197,-68.4166641235352,-57.5833320617676
"R-03",198,-68.0833358764648,-73.0833358764648
"R-03",199,-68.0833358764648,-72.5833358764648
"R-03",200,-68.0833358764648,-72.0833358764648
"R-03",201,-68.0833358764648,-71.5833358764648
"R-03",202,-68.0833358764648,-71.0833358764648
"R-03",203,-68.0833358764648,-70.5833358764648
"R-04",204,-68.0833358764648,-57.5833320617676
"R-03",205,-67.75,-71.5833358764648
"R-03",206,-67.75,-71.0833358764648
"R-04",207,-67.75,-58.0833320617676
"R-04",208,-67.75,-57.5833320617676
"R-03",209,-67.4166641235352,-71.5833358764648
"R-03",210,-67.4166641235352,-71.0833358764648
"R-04",211,-67.4166641235352,-58.5833320617676
"R-04",212,-67.4166641235352,-58.0833320617676
"R-03",213,-67.0833358764648,-71.5833358764648
"R-03",214,-67.0833358764648,-71.0833358764648
"R-04",215,-67.0833358764648,-58.5833320617676
"R-03",216,-66.75,-71.0833358764648
"R-03",217,-66.75,-70.5833358764648
"R-04",218,-66.75,-58.5833320617676
"R-03",219,-66.4166641235352,-70.5833358764648
"R-03",220,-66.4166641235352,-70.0833358764648
"R-04",221,-66.4166641235352,-59.0833320617676
"R-04",222,-66.4166641235352,-58.5833320617676
"R-03",223,-66.0833358764648,-70.0833358764648
"R-03",224,-66.0833358764648,-69.5833358764648
"R-03",225,-66.0833358764648,-69.0833358764648
"R-04",226,-66.0833358764648,-58.5833320617676
"R-04",227,-66.0833358764648,-58.0833320617676
"R-03",228,-65.75,-69.0833358764648
"R-03",229,-65.75,-68.5833358764648
"R-04",230,-65.75,-58.0833320617676
"R-04",231,-65.75,-57.5833320617676
"R-03",232,-65.4166641235352,-68.5833358764648
"R-03",233,-65.4166641235352,-68.0833358764648
"R-04",234,-65.4166641235352,-57.5833320617676
"R-04",235,-65.4166641235352,-57.0833320617676
"R-04",236,-65.4166641235352,-56.5833320617676
"R-04",237,-65.4166641235352,-56.0833320617676
"R-03",238,-65.0833358764648,-67.5833358764648
"R-04",239,-65.0833358764648,-56.0833320617676
"R-04",240,-65.0833358764648,-55.5833320617676
"R-04",241,-65.0833358764648,-55.0833320617676
"R-03",242,-64.75,-67.0833358764648
"R-03",243,-64.75,-66.5833358764648
"R-03",244,-64.75,-66.0833358764648
"R-04",245,-64.75,-55.0833320617676
"R-04",246,-64.75,-54.5833320617676
"R-03",247,-64.4166641235352,-66.0833358764648
"R-04",248,-64.4166641235352,-54.5833320617676
"R-03",249,-64.0833358764648,-66.0833358764648
"R-03",250,-64.0833358764648,-65.5833358764648
"R-04",251,-64.0833358764648,-54.5833320617676
"R-04",252,-64.0833358764648,-54.0833320617676
"R-04",253,-64.0833358764648,-53.5833320617676
"R-03",254,-63.75,-65.0833358764648
"R-03",255,-63.75,-64.5833358764648
"R-04",256,-63.75,-53.5833320617676
"R-04",257,-63.75,-53.0833320617676
